,0
Team_ID,1610612747
Season,1990-91
FGM,"{'AVG': 40.76829268292683, 'STDEV': 5.391577291577754}"
FGA,"{'AVG': 84.28048780487805, 'STDEV': 6.5945626503379415}"
FGP,"{'AVG': 0.48373170731707305, 'STDEV': 0.051865935627640004}"
FG3M,"{'AVG': 2.756097560975609, 'STDEV': 1.536076255258601}"
FG3A,"{'AVG': 9.073170731707316, 'STDEV': 3.870689120400541}"
FG3P,"{'AVG': 0.314475759176261, 'STDEV': 0.161908272444812}"
FTM,"{'AVG': 22.01219512195122, 'STDEV': 5.855236977289888}"
FTA,"{'AVG': 27.573170731707318, 'STDEV': 27.573170731707318}"
FTP,"{'AVG': 0.801536585365853, 'STDEV': 0.801536585365853}"
OREB,"{'AVG': 13.146341463414634, 'STDEV': 4.354994156618983}"
DREB,"{'AVG': 29.75609756097561, 'STDEV': 5.257706808034586}"
REB,"{'AVG': 42.90243902439025, 'STDEV': 7.34949356800267}"
AST,"{'AVG': 25.5, 'STDEV': 6.008738492529438}"
BLK,"{'AVG': 4.682926829268292, 'STDEV': 2.249159232655439}"
TOV,"{'AVG': 14.085365853658537, 'STDEV': 3.752205012668049}"
PF,"{'AVG': 18.585365853658537, 'STDEV': 4.38558587246283}"
