,0
Team_ID,1610612756
Season,1990-91
FGM,"{'AVG': 43.573170731707314, 'STDEV': 5.973254149204154}"
FGA,"{'AVG': 87.79268292682927, 'STDEV': 8.041156180117275}"
FGP,"{'AVG': 0.49731707317073104, 'STDEV': 0.05659884351843401}"
FG3M,"{'AVG': 1.682926829268292, 'STDEV': 1.616871302669065}"
FG3A,"{'AVG': 5.268292682926829, 'STDEV': 2.429493573646624}"
FG3P,"{'AVG': 0.285092854300171, 'STDEV': 0.239001151704606}"
FTM,"{'AVG': 25.170731707317074, 'STDEV': 7.870565383629983}"
FTA,"{'AVG': 32.68292682926829, 'STDEV': 32.68292682926829}"
FTP,"{'AVG': 0.774329268292682, 'STDEV': 0.774329268292682}"
OREB,"{'AVG': 13.804878048780488, 'STDEV': 3.221988590726456}"
DREB,"{'AVG': 31.682926829268293, 'STDEV': 4.7163441815694895}"
REB,"{'AVG': 45.48780487804878, 'STDEV': 6.228655211137888}"
AST,"{'AVG': 26.9390243902439, 'STDEV': 5.867566347209373}"
BLK,"{'AVG': 6.524390243902439, 'STDEV': 3.209652147438716}"
TOV,"{'AVG': 15.353658536585366, 'STDEV': 4.66500486607268}"
PF,"{'AVG': 22.5609756097561, 'STDEV': 4.414056002641958}"
