,0
Team_ID,1610612744
Season,1990-91
FGM,"{'AVG': 43.48780487804878, 'STDEV': 5.793235524126445}"
FGA,"{'AVG': 89.58536585365853, 'STDEV': 7.446850721410211}"
FGP,"{'AVG': 0.486353658536585, 'STDEV': 0.058421282260985}"
FG3M,"{'AVG': 3.292682926829268, 'STDEV': 1.849176025233266}"
FG3A,"{'AVG': 9.768292682926829, 'STDEV': 3.282195819076097}"
FG3P,"{'AVG': 0.33742883133127005, 'STDEV': 0.160215713986152}"
FTM,"{'AVG': 26.365853658536587, 'STDEV': 7.040468901194732}"
FTA,"{'AVG': 33.670731707317074, 'STDEV': 33.670731707317074}"
FTP,"{'AVG': 0.784926829268292, 'STDEV': 0.784926829268292}"
OREB,"{'AVG': 13.573170731707316, 'STDEV': 4.213530491768004}"
DREB,"{'AVG': 28.121951219512194, 'STDEV': 5.31336596463431}"
REB,"{'AVG': 41.69512195121951, 'STDEV': 6.5483746440449995}"
AST,"{'AVG': 23.829268292682926, 'STDEV': 5.323613545928145}"
BLK,"{'AVG': 4.609756097560975, 'STDEV': 2.8186157952983892}"
TOV,"{'AVG': 16.317073170731707, 'STDEV': 4.5862867219368795}"
PF,"{'AVG': 26.914634146341463, 'STDEV': 5.195442493571151}"
