,0
Team_ID,1610612760
Season,1993-94
FGM,"{'AVG': 40.707317073170735, 'STDEV': 6.406955720303296}"
FGA,"{'AVG': 84.15853658536585, 'STDEV': 7.915400697523069}"
FGP,"{'AVG': 0.48370731707317005, 'STDEV': 0.060132259127483004}"
FG3M,"{'AVG': 2.951219512195122, 'STDEV': 1.8784182932863611}"
FG3A,"{'AVG': 8.804878048780488, 'STDEV': 2.9289488460826663}"
FG3P,"{'AVG': 0.329740838429862, 'STDEV': 0.16393070017785602}"
FTM,"{'AVG': 21.573170731707318, 'STDEV': 6.7220486438652625}"
FTA,"{'AVG': 28.951219512195124, 'STDEV': 28.951219512195124}"
FTP,"{'AVG': 0.7406097560975611, 'STDEV': 0.7406097560975611}"
OREB,"{'AVG': 14, 'STDEV': 4.006168083848877}"
DREB,"{'AVG': 27.23170731707317, 'STDEV': 5.001971908658377}"
REB,"{'AVG': 41.23170731707317, 'STDEV': 6.299713457108521}"
AST,"{'AVG': 25.75609756097561, 'STDEV': 5.697218241744654}"
BLK,"{'AVG': 4.451219512195122, 'STDEV': 2.465327158938997}"
TOV,"{'AVG': 14.804878048780488, 'STDEV': 3.9422968312814732}"
PF,"{'AVG': 23.341463414634145, 'STDEV': 3.89751269906664}"
