,0
Team_ID,1610612753
Season,1994-95
FGM,"{'AVG': 42.19512195121951, 'STDEV': 5.823407479843937}"
FGA,"{'AVG': 84.13414634146342, 'STDEV': 7.707239173791319}"
FGP,"{'AVG': 0.502060975609756, 'STDEV': 0.056035338841095}"
FG3M,"{'AVG': 6.378048780487805, 'STDEV': 2.477754080118062}"
FG3A,"{'AVG': 17.21951219512195, 'STDEV': 5.164036105113051}"
FG3P,"{'AVG': 0.373465995038318, 'STDEV': 0.09817894657513301}"
FTM,"{'AVG': 20.097560975609756, 'STDEV': 6.255091271694101}"
FTA,"{'AVG': 30.0609756097561, 'STDEV': 30.0609756097561}"
FTP,"{'AVG': 0.663890243902439, 'STDEV': 0.663890243902439}"
OREB,"{'AVG': 14.012195121951219, 'STDEV': 4.353213379434724}"
DREB,"{'AVG': 29.963414634146343, 'STDEV': 4.49264178091633}"
REB,"{'AVG': 43.97560975609756, 'STDEV': 6.089812601783565}"
AST,"{'AVG': 27.817073170731707, 'STDEV': 5.549169771693219}"
BLK,"{'AVG': 5.951219512195122, 'STDEV': 2.216116272657091}"
TOV,"{'AVG': 15.451219512195122, 'STDEV': 3.70569278114856}"
PF,"{'AVG': 21.048780487804876, 'STDEV': 4.602475015924276}"
