,0
Team_ID,1610612748
Season,1995-96
FGM,"{'AVG': 35.390243902439025, 'STDEV': 5.137026323268162}"
FGA,"{'AVG': 77.41463414634147, 'STDEV': 6.96898104302766}"
FGP,"{'AVG': 0.458012195121951, 'STDEV': 0.05856061414001101}"
FG3M,"{'AVG': 6.73170731707317, 'STDEV': 3.006366826175083}"
FG3A,"{'AVG': 17.78048780487805, 'STDEV': 4.29764331124788}"
FG3P,"{'AVG': 0.37618923244325003, 'STDEV': 0.13266145252177702}"
FTM,"{'AVG': 18.9390243902439, 'STDEV': 6.547730849947055}"
FTA,"{'AVG': 26.670731707317074, 'STDEV': 26.670731707317074}"
FTP,"{'AVG': 0.706573170731707, 'STDEV': 0.706573170731707}"
OREB,"{'AVG': 12.182926829268293, 'STDEV': 3.931914523707304}"
DREB,"{'AVG': 30.426829268292682, 'STDEV': 5.422929115589935}"
REB,"{'AVG': 42.609756097560975, 'STDEV': 6.9933938802607525}"
AST,"{'AVG': 21.365853658536587, 'STDEV': 5.051615546796962}"
BLK,"{'AVG': 5.353658536585366, 'STDEV': 2.6028092668296168}"
TOV,"{'AVG': 16.329268292682926, 'STDEV': 4.052296645110015}"
PF,"{'AVG': 26.317073170731707, 'STDEV': 4.848005950726922}"
