,0
Team_ID,1610612765
Season,1996-97
FGM,"{'AVG': 34.47560975609756, 'STDEV': 4.535798920347943}"
FGA,"{'AVG': 74.32926829268293, 'STDEV': 6.627765908620797}"
FGP,"{'AVG': 0.46486585365853605, 'STDEV': 0.054689643363598}"
FG3M,"{'AVG': 7.097560975609756, 'STDEV': 2.701667322857603}"
FG3A,"{'AVG': 18.28048780487805, 'STDEV': 4.489423483689061}"
FG3P,"{'AVG': 0.385796160360649, 'STDEV': 0.11857646057573501}"
FTM,"{'AVG': 18.134146341463413, 'STDEV': 5.887341924950745}"
FTA,"{'AVG': 24.329268292682926, 'STDEV': 24.329268292682926}"
FTP,"{'AVG': 0.741878048780487, 'STDEV': 0.741878048780487}"
OREB,"{'AVG': 10.463414634146341, 'STDEV': 3.628403457874624}"
DREB,"{'AVG': 27.951219512195124, 'STDEV': 4.435831763345066}"
REB,"{'AVG': 38.41463414634146, 'STDEV': 5.652381164382105}"
AST,"{'AVG': 18.951219512195124, 'STDEV': 4.195536837953746}"
BLK,"{'AVG': 3.451219512195122, 'STDEV': 2.109077611415141}"
TOV,"{'AVG': 11.987804878048781, 'STDEV': 3.649772197995357}"
PF,"{'AVG': 20.146341463414632, 'STDEV': 4.073770211218978}"
