,0
Team_ID,1610612745
Season,1996-97
FGM,"{'AVG': 37.03658536585366, 'STDEV': 5.848805136919825}"
FGA,"{'AVG': 79.07317073170732, 'STDEV': 7.748803950407368}"
FGP,"{'AVG': 0.46885365853658506, 'STDEV': 0.063910261536468}"
FG3M,"{'AVG': 8.182926829268293, 'STDEV': 3.035298707128102}"
FG3A,"{'AVG': 22.426829268292682, 'STDEV': 5.56672319289304}"
FG3P,"{'AVG': 0.36730516983181105, 'STDEV': 0.11416107207237401}"
FTM,"{'AVG': 18.329268292682926, 'STDEV': 7.169990405918096}"
FTA,"{'AVG': 24.29268292682927, 'STDEV': 24.29268292682927}"
FTP,"{'AVG': 0.743780487804878, 'STDEV': 0.743780487804878}"
OREB,"{'AVG': 11.304878048780488, 'STDEV': 4.224236432982228}"
DREB,"{'AVG': 31.28048780487805, 'STDEV': 5.055920353734445}"
REB,"{'AVG': 42.58536585365854, 'STDEV': 6.64617446729198}"
AST,"{'AVG': 24.548780487804876, 'STDEV': 5.613371247836217}"
BLK,"{'AVG': 4.23170731707317, 'STDEV': 2.138990072572353}"
TOV,"{'AVG': 16, 'STDEV': 4.172218523448575}"
PF,"{'AVG': 19.634146341463413, 'STDEV': 3.914241787171973}"
