,0
Team_ID,1610612759
Season,1998-99
FGM,"{'AVG': 34.8, 'STDEV': 5.198115828188643}"
FGA,"{'AVG': 76.24, 'STDEV': 7.493017157490631}"
FGP,"{'AVG': 0.45784, 'STDEV': 0.0638852159449}"
FG3M,"{'AVG': 3.44, 'STDEV': 2.011801913403879}"
FG3A,"{'AVG': 10.42, 'STDEV': 3.9748700402320942}"
FG3P,"{'AVG': 0.32758388996624205, 'STDEV': 0.146176530032942}"
FTM,"{'AVG': 19.76, 'STDEV': 6.485651352746905}"
FTA,"{'AVG': 28.3, 'STDEV': 28.3}"
FTP,"{'AVG': 0.69984, 'STDEV': 0.69984}"
OREB,"{'AVG': 12.28, 'STDEV': 3.774457658027825}"
DREB,"{'AVG': 31.68, 'STDEV': 4.528548895842995}"
REB,"{'AVG': 43.96, 'STDEV': 5.848285986474313}"
AST,"{'AVG': 22.02, 'STDEV': 4.757335903418969}"
BLK,"{'AVG': 7.02, 'STDEV': 3.093706580812612}"
TOV,"{'AVG': 14.34, 'STDEV': 3.543375538110748}"
PF,"{'AVG': 20.2, 'STDEV': 4.593695768803865}"
