,0
Team_ID,1610612755
Season,1999-00
FGM,"{'AVG': 36.5, 'STDEV': 5.111714940177086}"
FGA,"{'AVG': 82.63414634146342, 'STDEV': 7.356045964051161}"
FGP,"{'AVG': 0.44279268292682905, 'STDEV': 0.056443512198092}"
FG3M,"{'AVG': 2.536585365853658, 'STDEV': 1.7929568787803891}"
FG3A,"{'AVG': 7.841463414634147, 'STDEV': 3.210590162260361}"
FG3P,"{'AVG': 0.307001881427993, 'STDEV': 0.174460867645398}"
FTM,"{'AVG': 19.23170731707317, 'STDEV': 5.890563243076721}"
FTA,"{'AVG': 27.146341463414632, 'STDEV': 27.146341463414632}"
FTP,"{'AVG': 0.707865853658536, 'STDEV': 0.707865853658536}"
OREB,"{'AVG': 13.987804878048781, 'STDEV': 4.074897264293152}"
DREB,"{'AVG': 30.097560975609756, 'STDEV': 5.110168406051936}"
REB,"{'AVG': 44.08536585365854, 'STDEV': 6.303440603729487}"
AST,"{'AVG': 22.158536585365855, 'STDEV': 4.813739369852423}"
BLK,"{'AVG': 4.7073170731707314, 'STDEV': 2.168732945657775}"
TOV,"{'AVG': 15.25609756097561, 'STDEV': 4.29990231186697}"
PF,"{'AVG': 23.646341463414632, 'STDEV': 4.715019215544187}"
