,0
Team_ID,1610612739
Season,1999-00
FGM,"{'AVG': 36.30487804878049, 'STDEV': 4.5533572592784015}"
FGA,"{'AVG': 82.1219512195122, 'STDEV': 6.916414977843596}"
FGP,"{'AVG': 0.442926829268292, 'STDEV': 0.048965541042404005}"
FG3M,"{'AVG': 4.182926829268292, 'STDEV': 1.969696653842969}"
FG3A,"{'AVG': 11.207317073170731, 'STDEV': 3.448878167502124}"
FG3P,"{'AVG': 0.37007669623202305, 'STDEV': 0.153213564486496}"
FTM,"{'AVG': 20.158536585365855, 'STDEV': 7.315583758881645}"
FTA,"{'AVG': 26.890243902439025, 'STDEV': 26.890243902439025}"
FTP,"{'AVG': 0.749341463414634, 'STDEV': 0.749341463414634}"
OREB,"{'AVG': 12.317073170731707, 'STDEV': 4.09720786823998}"
DREB,"{'AVG': 30.475609756097562, 'STDEV': 4.782234638965958}"
REB,"{'AVG': 42.792682926829265, 'STDEV': 6.316229936779757}"
AST,"{'AVG': 23.670731707317074, 'STDEV': 5.347330886165801}"
BLK,"{'AVG': 4.426829268292683, 'STDEV': 2.403857434017959}"
TOV,"{'AVG': 16.853658536585368, 'STDEV': 4.085874345340771}"
PF,"{'AVG': 27.0609756097561, 'STDEV': 4.761853464686924}"
