,0
Team_ID,1610612751
Season,1999-00
FGM,"{'AVG': 36.329268292682926, 'STDEV': 4.6162752288894975}"
FGA,"{'AVG': 83.91463414634147, 'STDEV': 7.573836087107721}"
FGP,"{'AVG': 0.43430487804878004, 'STDEV': 0.051836325750084004}"
FG3M,"{'AVG': 5.8170731707317085, 'STDEV': 2.548919155010114}"
FG3A,"{'AVG': 16.75609756097561, 'STDEV': 4.273261614957657}"
FG3P,"{'AVG': 0.341950812065548, 'STDEV': 0.11666219369573201}"
FTM,"{'AVG': 19.524390243902438, 'STDEV': 6.733416959062835}"
FTA,"{'AVG': 24.890243902439025, 'STDEV': 24.890243902439025}"
FTP,"{'AVG': 0.7785243902439021, 'STDEV': 0.7785243902439021}"
OREB,"{'AVG': 12.682926829268293, 'STDEV': 4.39100665862185}"
DREB,"{'AVG': 28.23170731707317, 'STDEV': 4.854166545510232}"
REB,"{'AVG': 40.91463414634146, 'STDEV': 6.365806068483055}"
AST,"{'AVG': 20.585365853658537, 'STDEV': 4.65594328672397}"
BLK,"{'AVG': 4.7926829268292686, 'STDEV': 2.642192341098435}"
TOV,"{'AVG': 12.817073170731707, 'STDEV': 4.181464238728478}"
PF,"{'AVG': 23.329268292682926, 'STDEV': 4.109774191173892}"
