,0
Team_ID,1610612754
Season,1999-00
FGM,"{'AVG': 37.15853658536585, 'STDEV': 5.007326760734558}"
FGA,"{'AVG': 80.97560975609755, 'STDEV': 6.405968686216982}"
FGP,"{'AVG': 0.459975609756097, 'STDEV': 0.058965772790108006}"
FG3M,"{'AVG': 7.109756097560975, 'STDEV': 2.336009563447443}"
FG3A,"{'AVG': 18.134146341463413, 'STDEV': 4.014671227477978}"
FG3P,"{'AVG': 0.392368049469344, 'STDEV': 0.099265027655225}"
FTM,"{'AVG': 19.865853658536587, 'STDEV': 6.455473694493309}"
FTA,"{'AVG': 24.48780487804878, 'STDEV': 24.48780487804878}"
FTP,"{'AVG': 0.8137195121951221, 'STDEV': 0.8137195121951221}"
OREB,"{'AVG': 10.268292682926829, 'STDEV': 3.395889964945842}"
DREB,"{'AVG': 31.853658536585368, 'STDEV': 4.817975475698522}"
REB,"{'AVG': 42.1219512195122, 'STDEV': 5.437388270803146}"
AST,"{'AVG': 22.646341463414632, 'STDEV': 5.240798994827553}"
BLK,"{'AVG': 5.146341463414634, 'STDEV': 2.634631425106896}"
TOV,"{'AVG': 13.573170731707316, 'STDEV': 4.106695790555934}"
PF,"{'AVG': 21.78048780487805, 'STDEV': 4.204713375953647}"
