,0
Team_ID,1610612752
Season,2000-01
FGM,"{'AVG': 33.59756097560975, 'STDEV': 4.863214798386806}"
FGA,"{'AVG': 75.58536585365853, 'STDEV': 5.881444391992802}"
FGP,"{'AVG': 0.445963414634146, 'STDEV': 0.065531717911205}"
FG3M,"{'AVG': 4.768292682926829, 'STDEV': 2.167656642710404}"
FG3A,"{'AVG': 13.597560975609756, 'STDEV': 3.7180233567611243}"
FG3P,"{'AVG': 0.3534642378587, 'STDEV': 0.14060210564959202}"
FTM,"{'AVG': 16.75609756097561, 'STDEV': 5.616468236103047}"
FTA,"{'AVG': 21.0609756097561, 'STDEV': 21.0609756097561}"
FTP,"{'AVG': 0.795182926829268, 'STDEV': 0.795182926829268}"
OREB,"{'AVG': 9.426829268292684, 'STDEV': 3.467772216182937}"
DREB,"{'AVG': 30.78048780487805, 'STDEV': 5.247043589086655}"
REB,"{'AVG': 40.207317073170735, 'STDEV': 5.89776648428553}"
AST,"{'AVG': 18.536585365853657, 'STDEV': 4.884328989514106}"
BLK,"{'AVG': 4.219512195121951, 'STDEV': 2.298815530991657}"
TOV,"{'AVG': 13.804878048780488, 'STDEV': 3.901373687768317}"
PF,"{'AVG': 22.71951219512195, 'STDEV': 4.614187434969956}"
