,0
Team_ID,1610612742
Season,2000-01
FGM,"{'AVG': 37.6219512195122, 'STDEV': 4.498669882714275}"
FGA,"{'AVG': 81.90243902439025, 'STDEV': 7.261618627332935}"
FGP,"{'AVG': 0.46093902439024304, 'STDEV': 0.05252849845230401}"
FG3M,"{'AVG': 6.304878048780488, 'STDEV': 2.679086929360029}"
FG3A,"{'AVG': 16.548780487804876, 'STDEV': 5.079983569100458}"
FG3P,"{'AVG': 0.380120730763565, 'STDEV': 0.12907889558986402}"
FTM,"{'AVG': 18.926829268292682, 'STDEV': 6.245552467541347}"
FTA,"{'AVG': 23.829268292682926, 'STDEV': 23.829268292682926}"
FTP,"{'AVG': 0.7940121951219511, 'STDEV': 0.7940121951219511}"
OREB,"{'AVG': 10.134146341463415, 'STDEV': 4.259375121160876}"
DREB,"{'AVG': 31.353658536585368, 'STDEV': 5.9449573012816535}"
REB,"{'AVG': 41.48780487804878, 'STDEV': 8.025028598755279}"
AST,"{'AVG': 21.21951219512195, 'STDEV': 4.477720954268353}"
BLK,"{'AVG': 6, 'STDEV': 2.7799991118215113}"
TOV,"{'AVG': 13.341463414634147, 'STDEV': 4.068000728950739}"
PF,"{'AVG': 23.25609756097561, 'STDEV': 4.1746175269762364}"
