,0
Team_ID,1610612743
Season,2001-02
FGM,"{'AVG': 35.548780487804876, 'STDEV': 4.34940733588402}"
FGA,"{'AVG': 83.78048780487805, 'STDEV': 7.311456240154986}"
FGP,"{'AVG': 0.42604878048780404, 'STDEV': 0.054156586512555005}"
FG3M,"{'AVG': 5.158536585365853, 'STDEV': 2.589005777976957}"
FG3A,"{'AVG': 15.670731707317072, 'STDEV': 5.351946405018656}"
FG3P,"{'AVG': 0.32403117622195604, 'STDEV': 0.13924236964574901}"
FTM,"{'AVG': 15.926829268292684, 'STDEV': 5.505957464430727}"
FTA,"{'AVG': 21.414634146341463, 'STDEV': 21.414634146341463}"
FTP,"{'AVG': 0.744829268292682, 'STDEV': 0.744829268292682}"
OREB,"{'AVG': 13.621951219512194, 'STDEV': 4.376255358243398}"
DREB,"{'AVG': 28.170731707317074, 'STDEV': 4.61828057910921}"
REB,"{'AVG': 41.792682926829265, 'STDEV': 6.324043488652776}"
AST,"{'AVG': 22.158536585365855, 'STDEV': 5.193703481781538}"
BLK,"{'AVG': 5.634146341463414, 'STDEV': 2.5748651894326198}"
TOV,"{'AVG': 13.78048780487805, 'STDEV': 4.091618624576983}"
PF,"{'AVG': 22.841463414634145, 'STDEV': 4.41789154837609}"
