,0
Team_ID,1610612763
Season,2003-04
FGM,"{'AVG': 36.13414634146341, 'STDEV': 4.548129978277604}"
FGA,"{'AVG': 81.1829268292683, 'STDEV': 7.120008407507326}"
FGP,"{'AVG': 0.446195121951219, 'STDEV': 0.051839600436748005}"
FG3M,"{'AVG': 5.451219512195122, 'STDEV': 2.315553630967371}"
FG3A,"{'AVG': 16.024390243902438, 'STDEV': 4.60267128491061}"
FG3P,"{'AVG': 0.343120889441176, 'STDEV': 0.11527515311275001}"
FTM,"{'AVG': 18.98780487804878, 'STDEV': 5.934818587384209}"
FTA,"{'AVG': 26.134146341463413, 'STDEV': 26.134146341463413}"
FTP,"{'AVG': 0.7254024390243901, 'STDEV': 0.7254024390243901}"
OREB,"{'AVG': 12.768292682926829, 'STDEV': 4.497732708623024}"
DREB,"{'AVG': 29.036585365853657, 'STDEV': 4.525497372436686}"
REB,"{'AVG': 41.80487804878049, 'STDEV': 6.319554259148901}"
AST,"{'AVG': 23.353658536585368, 'STDEV': 4.092667189189641}"
BLK,"{'AVG': 6.890243902439025, 'STDEV': 2.837169940823162}"
TOV,"{'AVG': 14.390243902439025, 'STDEV': 3.122028849531669}"
PF,"{'AVG': 23.20731707317073, 'STDEV': 4.5426315451523855}"
