,0
Team_ID,1610612762
Season,2004-05
FGM,"{'AVG': 34.48780487804878, 'STDEV': 5.152594701603092}"
FGA,"{'AVG': 76.84146341463415, 'STDEV': 6.96989914764013}"
FGP,"{'AVG': 0.44982926829268205, 'STDEV': 0.060748785463254004}"
FG3M,"{'AVG': 3.048780487804878, 'STDEV': 1.67702292823825}"
FG3A,"{'AVG': 9.292682926829269, 'STDEV': 2.999949813893184}"
FG3P,"{'AVG': 0.33393066960140105, 'STDEV': 0.154688761283092}"
FTM,"{'AVG': 20.963414634146343, 'STDEV': 7.2204187867176834}"
FTA,"{'AVG': 27.70731707317073, 'STDEV': 27.70731707317073}"
FTP,"{'AVG': 0.759829268292682, 'STDEV': 0.759829268292682}"
OREB,"{'AVG': 12.768292682926829, 'STDEV': 3.913568610782724}"
DREB,"{'AVG': 27.353658536585368, 'STDEV': 4.51983816824767}"
REB,"{'AVG': 40.1219512195122, 'STDEV': 6.017239110764138}"
AST,"{'AVG': 22.26829268292683, 'STDEV': 4.251503090738978}"
BLK,"{'AVG': 4.560975609756097, 'STDEV': 2.885029734214018}"
TOV,"{'AVG': 14.939024390243903, 'STDEV': 3.2483521405517912}"
PF,"{'AVG': 26.695121951219512, 'STDEV': 4.681692804510831}"
