,0
Team_ID,1610612740
Season,2005-06
FGM,"{'AVG': 34.52439024390244, 'STDEV': 4.533076272003911}"
FGA,"{'AVG': 78.39024390243902, 'STDEV': 6.445892744462206}"
FGP,"{'AVG': 0.44130487804878005, 'STDEV': 0.054374260664623}"
FG3M,"{'AVG': 3.6585365853658542, 'STDEV': 2.031963790111428}"
FG3A,"{'AVG': 10.792682926829269, 'STDEV': 3.9244023052917223}"
FG3P,"{'AVG': 0.34395203373861905, 'STDEV': 0.166224743991665}"
FTM,"{'AVG': 20.109756097560975, 'STDEV': 5.715489237478083}"
FTA,"{'AVG': 26.536585365853657, 'STDEV': 26.536585365853657}"
FTP,"{'AVG': 0.7584756097560971, 'STDEV': 0.7584756097560971}"
OREB,"{'AVG': 11.195121951219512, 'STDEV': 3.625829915693355}"
DREB,"{'AVG': 29.01219512195122, 'STDEV': 5.3391031346514595}"
REB,"{'AVG': 40.207317073170735, 'STDEV': 6.097434807487224}"
AST,"{'AVG': 18.524390243902438, 'STDEV': 4.3863582289293515}"
BLK,"{'AVG': 3.792682926829268, 'STDEV': 1.998380856186221}"
TOV,"{'AVG': 12.512195121951219, 'STDEV': 3.69264836019823}"
PF,"{'AVG': 21.78048780487805, 'STDEV': 4.115686313749236}"
