,0
Team_ID,1610612746
Season,2007-08
FGM,"{'AVG': 34.390243902439025, 'STDEV': 4.507212594484083}"
FGA,"{'AVG': 78.59756097560975, 'STDEV': 6.606879609562173}"
FGP,"{'AVG': 0.438439024390243, 'STDEV': 0.05274679735429601}"
FG3M,"{'AVG': 4.268292682926829, 'STDEV': 2.533960840839645}"
FG3A,"{'AVG': 13.158536585365853, 'STDEV': 4.942807499804789}"
FG3P,"{'AVG': 0.317775240506914, 'STDEV': 0.14539050416009}"
FTM,"{'AVG': 20.75609756097561, 'STDEV': 6.169540822919725}"
FTA,"{'AVG': 26.5609756097561, 'STDEV': 26.5609756097561}"
FTP,"{'AVG': 0.7802926829268291, 'STDEV': 0.7802926829268291}"
OREB,"{'AVG': 9.75609756097561, 'STDEV': 3.451823549593003}"
DREB,"{'AVG': 30.378048780487806, 'STDEV': 5.047038598512501}"
REB,"{'AVG': 40.13414634146341, 'STDEV': 6.505006989153591}"
AST,"{'AVG': 21.121951219512194, 'STDEV': 4.899962821482636}"
BLK,"{'AVG': 4.853658536585366, 'STDEV': 2.331332217135649}"
TOV,"{'AVG': 13.75609756097561, 'STDEV': 3.581712727793565}"
PF,"{'AVG': 21.28048780487805, 'STDEV': 4.089355016438011}"
