,0
Team_ID,1610612750
Season,2007-08
FGM,"{'AVG': 37.51219512195122, 'STDEV': 4.843842731334476}"
FGA,"{'AVG': 83.13414634146342, 'STDEV': 7.215829983355356}"
FGP,"{'AVG': 0.452, 'STDEV': 0.050518301292027}"
FG3M,"{'AVG': 5.378048780487805, 'STDEV': 2.323472517763221}"
FG3A,"{'AVG': 15.353658536585366, 'STDEV': 4.264038401199213}"
FG3P,"{'AVG': 0.34541101507376104, 'STDEV': 0.115522223400219}"
FTM,"{'AVG': 15.195121951219512, 'STDEV': 5.631566728016706}"
FTA,"{'AVG': 20.646341463414632, 'STDEV': 20.646341463414632}"
FTP,"{'AVG': 0.736134146341463, 'STDEV': 0.736134146341463}"
OREB,"{'AVG': 11.75609756097561, 'STDEV': 4.04469161518765}"
DREB,"{'AVG': 29.609756097560975, 'STDEV': 4.432640150656184}"
REB,"{'AVG': 41.36585365853659, 'STDEV': 5.905662056365806}"
AST,"{'AVG': 19.878048780487806, 'STDEV': 4.525347661161649}"
BLK,"{'AVG': 3.731707317073171, 'STDEV': 1.9566207988049622}"
TOV,"{'AVG': 13.939024390243903, 'STDEV': 3.40423686985269}"
PF,"{'AVG': 22.98780487804878, 'STDEV': 4.161830978939421}"
