,0
Team_ID,1610612761
Season,2008-09
FGM,"{'AVG': 37.24390243902439, 'STDEV': 4.9355374846078615}"
FGA,"{'AVG': 81.3780487804878, 'STDEV': 8.471652430970673}"
FGP,"{'AVG': 0.459475609756097, 'STDEV': 0.05591731673955701}"
FG3M,"{'AVG': 5.841463414634147, 'STDEV': 2.451854990350513}"
FG3A,"{'AVG': 15.71951219512195, 'STDEV': 4.478410184853556}"
FG3P,"{'AVG': 0.37474692452636504, 'STDEV': 0.12287952699726501}"
FTM,"{'AVG': 18.70731707317073, 'STDEV': 6.2509017717407644}"
FTA,"{'AVG': 22.695121951219512, 'STDEV': 22.695121951219512}"
FTP,"{'AVG': 0.8240000000000001, 'STDEV': 0.8240000000000001}"
OREB,"{'AVG': 9.78048780487805, 'STDEV': 3.787648510697657}"
DREB,"{'AVG': 30.646341463414632, 'STDEV': 5.14090819477925}"
REB,"{'AVG': 40.426829268292686, 'STDEV': 6.520680279221191}"
AST,"{'AVG': 22.378048780487806, 'STDEV': 4.720954715911799}"
BLK,"{'AVG': 4.7560975609756095, 'STDEV': 2.482337486678988}"
TOV,"{'AVG': 12.853658536585366, 'STDEV': 3.580199150331911}"
PF,"{'AVG': 19.426829268292682, 'STDEV': 3.7746081075460722}"
