,0
Team_ID,1610612738
Season,2014-15
FGM,"{'AVG': 38.9390243902439, 'STDEV': 4.728029268609689}"
FGA,"{'AVG': 87.9390243902439, 'STDEV': 7.480588147761833}"
FGP,"{'AVG': 0.44432926829268204, 'STDEV': 0.054022184486948004}"
FG3M,"{'AVG': 8.048780487804878, 'STDEV': 2.693854180589818}"
FG3A,"{'AVG': 24.646341463414632, 'STDEV': 5.085374699329495}"
FG3P,"{'AVG': 0.32619574430603904, 'STDEV': 0.079496952112766}"
FTM,"{'AVG': 15.439024390243903, 'STDEV': 5.400268765546629}"
FTA,"{'AVG': 20.463414634146343, 'STDEV': 20.463414634146343}"
FTP,"{'AVG': 0.756743902439024, 'STDEV': 0.756743902439024}"
OREB,"{'AVG': 11.097560975609756, 'STDEV': 3.693871320950724}"
DREB,"{'AVG': 32.74390243902439, 'STDEV': 4.6263095593045325}"
REB,"{'AVG': 43.84146341463415, 'STDEV': 5.446642441115538}"
AST,"{'AVG': 24.5, 'STDEV': 4.503085362035432}"
BLK,"{'AVG': 3.585365853658536, 'STDEV': 1.872156078701015}"
TOV,"{'AVG': 13.268292682926829, 'STDEV': 3.829865679518757}"
PF,"{'AVG': 21.195121951219512, 'STDEV': 4.307441234067424}"
