,0
Team_ID,1610612766
Season,2015-16
FGM,"{'AVG': 37.02439024390244, 'STDEV': 5.137553844014732}"
FGA,"{'AVG': 84.41463414634147, 'STDEV': 6.865464151289903}"
FGP,"{'AVG': 0.438963414634146, 'STDEV': 0.053192741805521006}"
FG3M,"{'AVG': 10.646341463414634, 'STDEV': 3.024067864626139}"
FG3A,"{'AVG': 29.390243902439025, 'STDEV': 4.958484678825533}"
FG3P,"{'AVG': 0.36155442165155005, 'STDEV': 0.08244756324579701}"
FTM,"{'AVG': 18.70731707317073, 'STDEV': 5.458005344690299}"
FTA,"{'AVG': 23.670731707317074, 'STDEV': 23.670731707317074}"
FTP,"{'AVG': 0.7951951219512191, 'STDEV': 0.7951951219512191}"
OREB,"{'AVG': 8.951219512195122, 'STDEV': 3.325555514810076}"
DREB,"{'AVG': 34.98780487804878, 'STDEV': 6.078689556712819}"
REB,"{'AVG': 43.9390243902439, 'STDEV': 6.902044000302651}"
AST,"{'AVG': 21.682926829268293, 'STDEV': 4.259710906496546}"
BLK,"{'AVG': 5.341463414634147, 'STDEV': 2.9068650637146862}"
TOV,"{'AVG': 11.865853658536585, 'STDEV': 3.547776890844275}"
PF,"{'AVG': 18.134146341463413, 'STDEV': 4.468717591948655}"
