,0
Team_ID,1610612757
Season,2015-16
FGM,"{'AVG': 38.6219512195122, 'STDEV': 4.404375613046753}"
FGA,"{'AVG': 85.85365853658537, 'STDEV': 6.7075081410468815}"
FGP,"{'AVG': 0.45091463414634103, 'STDEV': 0.04841160997868801}"
FG3M,"{'AVG': 10.536585365853659, 'STDEV': 3.425377772988613}"
FG3A,"{'AVG': 28.48780487804878, 'STDEV': 5.558319095853884}"
FG3P,"{'AVG': 0.368854693939407, 'STDEV': 0.091570446168446}"
FTM,"{'AVG': 17.365853658536587, 'STDEV': 5.500869056192986}"
FTA,"{'AVG': 23.036585365853657, 'STDEV': 23.036585365853657}"
FTP,"{'AVG': 0.751743902439024, 'STDEV': 0.751743902439024}"
OREB,"{'AVG': 11.560975609756097, 'STDEV': 4.124894494649574}"
DREB,"{'AVG': 33.926829268292686, 'STDEV': 4.791403020907595}"
REB,"{'AVG': 45.48780487804878, 'STDEV': 5.780435077903086}"
AST,"{'AVG': 21.317073170731707, 'STDEV': 4.427406366077369}"
BLK,"{'AVG': 4.634146341463414, 'STDEV': 2.40633010431079}"
TOV,"{'AVG': 14.073170731707316, 'STDEV': 3.750820446232202}"
PF,"{'AVG': 21.73170731707317, 'STDEV': 4.613583756015811}"
