,0
Team_ID,1610612749
Season,2017-18
FGM,"{'AVG': 39.71951219512195, 'STDEV': 5.048589560385372}"
FGA,"{'AVG': 83.01219512195122, 'STDEV': 6.837611853760928}"
FGP,"{'AVG': 0.47892682926829205, 'STDEV': 0.052311455792266}"
FG3M,"{'AVG': 8.75609756097561, 'STDEV': 2.6413659747537013}"
FG3A,"{'AVG': 24.682926829268293, 'STDEV': 4.5402943527259065}"
FG3P,"{'AVG': 0.356267481584266, 'STDEV': 0.08851586754992301}"
FTM,"{'AVG': 18.28048780487805, 'STDEV': 5.7505220165487945}"
FTA,"{'AVG': 23.353658536585368, 'STDEV': 23.353658536585368}"
FTP,"{'AVG': 0.784073170731707, 'STDEV': 0.784073170731707}"
OREB,"{'AVG': 8.390243902439025, 'STDEV': 3.207845696702266}"
DREB,"{'AVG': 31.451219512195124, 'STDEV': 4.562738075031588}"
REB,"{'AVG': 39.84146341463415, 'STDEV': 5.278583592741387}"
AST,"{'AVG': 23.23170731707317, 'STDEV': 4.78500430353872}"
BLK,"{'AVG': 5.402439024390244, 'STDEV': 2.642762098370141}"
TOV,"{'AVG': 13.146341463414634, 'STDEV': 2.944431661269996}"
PF,"{'AVG': 21.365853658536587, 'STDEV': 4.5528777905683615}"
