,0
Team_ID,1610612737
Season,2017-18
FGM,"{'AVG': 38.170731707317074, 'STDEV': 4.051534926477089}"
FGA,"{'AVG': 85.54878048780488, 'STDEV': 6.571829966737829}"
FGP,"{'AVG': 0.447719512195121, 'STDEV': 0.050361967423067006}"
FG3M,"{'AVG': 11.182926829268293, 'STDEV': 2.9276377735046992}"
FG3A,"{'AVG': 31.024390243902438, 'STDEV': 5.595358768395833}"
FG3P,"{'AVG': 0.363486898879093, 'STDEV': 0.08098822647378401}"
FTM,"{'AVG': 15.829268292682928, 'STDEV': 5.8368875480103295}"
FTA,"{'AVG': 20.170731707317074, 'STDEV': 20.170731707317074}"
FTP,"{'AVG': 0.787097560975609, 'STDEV': 0.787097560975609}"
OREB,"{'AVG': 9.060975609756097, 'STDEV': 3.493724748271066}"
DREB,"{'AVG': 32.84146341463415, 'STDEV': 5.373619862306127}"
REB,"{'AVG': 41.90243902439025, 'STDEV': 6.553878798928989}"
AST,"{'AVG': 23.73170731707317, 'STDEV': 4.54619303628384}"
BLK,"{'AVG': 4.2439024390243905, 'STDEV': 2.040097889262119}"
TOV,"{'AVG': 14.975609756097562, 'STDEV': 3.280980016781712}"
PF,"{'AVG': 19.585365853658537, 'STDEV': 4.303174881646051}"
