,0
Team_ID,1610612758
Season,2017-18
FGM,"{'AVG': 38.76829268292683, 'STDEV': 4.298431469555414}"
FGA,"{'AVG': 86.13414634146342, 'STDEV': 5.79220889041233}"
FGP,"{'AVG': 0.450768292682926, 'STDEV': 0.046907394657903}"
FG3M,"{'AVG': 9, 'STDEV': 2.703450013465875}"
FG3A,"{'AVG': 23.98780487804878, 'STDEV': 4.821489709953324}"
FG3P,"{'AVG': 0.376919916854607, 'STDEV': 0.093115921257593}"
FTM,"{'AVG': 12.292682926829269, 'STDEV': 4.423528017368676}"
FTA,"{'AVG': 16.71951219512195, 'STDEV': 16.71951219512195}"
FTP,"{'AVG': 0.740573170731707, 'STDEV': 0.740573170731707}"
OREB,"{'AVG': 9.463414634146341, 'STDEV': 2.986368710134369}"
DREB,"{'AVG': 31.4390243902439, 'STDEV': 4.651025536654002}"
REB,"{'AVG': 40.90243902439025, 'STDEV': 5.7705291198811715}"
AST,"{'AVG': 21.5609756097561, 'STDEV': 3.9349574831832053}"
BLK,"{'AVG': 4.146341463414634, 'STDEV': 2.120574993183771}"
TOV,"{'AVG': 13.207317073170731, 'STDEV': 3.409274948724611}"
PF,"{'AVG': 19.98780487804878, 'STDEV': 3.37563492862216}"
