,0
Team_ID,1610612764
Season,2017-18
FGM,"{'AVG': 39.9390243902439, 'STDEV': 5.271276840601523}"
FGA,"{'AVG': 85.58536585365853, 'STDEV': 6.402066062178572}"
FGP,"{'AVG': 0.46767073170731704, 'STDEV': 0.059393239603250006}"
FG3M,"{'AVG': 9.926829268292684, 'STDEV': 3.387633602868075}"
FG3A,"{'AVG': 26.5, 'STDEV': 5.416595441127158}"
FG3P,"{'AVG': 0.37294050573296905, 'STDEV': 0.093666827551934}"
FTM,"{'AVG': 16.804878048780488, 'STDEV': 5.460156521950955}"
FTA,"{'AVG': 21.78048780487805, 'STDEV': 21.78048780487805}"
FTP,"{'AVG': 0.774695121951219, 'STDEV': 0.774695121951219}"
OREB,"{'AVG': 10.036585365853659, 'STDEV': 3.379112024314911}"
DREB,"{'AVG': 33.08536585365854, 'STDEV': 4.408748932344556}"
REB,"{'AVG': 43.1219512195122, 'STDEV': 5.009596331541943}"
AST,"{'AVG': 25.182926829268293, 'STDEV': 5.470748360527065}"
BLK,"{'AVG': 4.304878048780488, 'STDEV': 2.231585963137028}"
TOV,"{'AVG': 14.048780487804878, 'STDEV': 3.520319987645589}"
PF,"{'AVG': 21.29268292682927, 'STDEV': 4.585236116483254}"
