,0
Team_ID,1610612741
Season,2019-20
FGM,"{'AVG': 39.58461538461538, 'STDEV': 5.021492269772464}"
FGA,"{'AVG': 88.64615384615385, 'STDEV': 6.541766698565574}"
FGP,"{'AVG': 0.44789230769230703, 'STDEV': 0.056246145167058004}"
FG3M,"{'AVG': 12.2, 'STDEV': 3.460491294599655}"
FG3A,"{'AVG': 35.10769230769231, 'STDEV': 5.247389460850619}"
FG3P,"{'AVG': 0.34797683921729, 'STDEV': 0.08592107778147501}"
FTM,"{'AVG': 15.476923076923077, 'STDEV': 5.879274222607361}"
FTA,"{'AVG': 20.49230769230769, 'STDEV': 20.49230769230769}"
FTP,"{'AVG': 0.7518923076923071, 'STDEV': 0.7518923076923071}"
OREB,"{'AVG': 10.461538461538462, 'STDEV': 3.477952536501015}"
DREB,"{'AVG': 31.4, 'STDEV': 4.917443441464274}"
REB,"{'AVG': 41.86153846153846, 'STDEV': 6.020477875231654}"
AST,"{'AVG': 23.23076923076923, 'STDEV': 3.385489397640829}"
BLK,"{'AVG': 4.076923076923077, 'STDEV': 2.306971041130639}"
TOV,"{'AVG': 14.63076923076923, 'STDEV': 3.959045145175596}"
PF,"{'AVG': 21.8, 'STDEV': 3.949683531626299}"
